Name,Alt_Name,Acronym,Country_Area,Latitude,Longitude
Tak'alik Ab'aj,Abaj Takalik = Takalik Abaj = San Isidro Piedra Parada,ABJ,"Guatemala, Retalhuleu (GT-RE)",14.634945,-91.733077
Tamarindito,,TAM,"Guatemala, PetÈn (GT-PE)",16.451161,-90.238642
Tancah,,TAN," Mexiko, Quintana Roo (MX-ROO)",20.24628,-87.41432
Tayasal,Taiz√° = Taitz√° = Noj Peten,TSL,"Guatemala, PetÈn (GT-PE)",16.93762,-89.8969
Techoh,Tecoh,TCH,"Mexiko, Yucat·n (MX-YUC)",20.287296,-89.40335
Tecolote,,,"Guatemala, PetÈn (GT-PE)",16.981835,-91.089809
Tikal,Mutul,TIK,"Guatemala, PetÈn (GT-PE)",17.222049,-89.623542
Tintal,,TNT,"Guatemala, PetÈn (GT-PE)",17.580455,-89.996414
Tipan Chen Uitz,,TCU," Belize, Cayo (BZ-CY)",17.1,-88.8
Tohcok,,TCK," Mexiko, Campeche (MX-CAM)",19.770274,-89.875133
Tonala,,TNL,"Mexiko, Chiapas (MX-CHP)",16.05601,-93.7652
Tonina,Aharicab = Tulh√° = Tonila = Ocosingo = San Carlos,TNA,"Mexiko, Chiapas (MX-CHP)",16.90122,-92.00967
Topoxte,,TPX,"Guatemala, PetÈn (GT-PE)",17.062237,-89.424462
Tres Islas,,TRS,"Guatemala, PetÈn (GT-PE)",16.196947,-90.0529
Tulum,,TUL," Mexiko, Quintana Roo (MX-ROO)",20.21472,-87.42889
Tunkuyi,,TUN," Mexiko, Campeche (MX-CAM)",20.07128,-89.70823
Tz'ibatnah,,,"Guatemala, PetÈn (GT-PE)",17.69056,-89.43444
Tz'unun,,TZU,"Belize, Orange Walk (BZ-OW)",18.06'54.8,-88.34327
Tzibanche,Dzibanche,TZB," Mexiko, Quintana Roo (MX-ROO)",18.63841,-88.75866
Tzimin Che,,," Belize, Toledo (BZ-TOL)",16.393231,-88.799744
Tzocchen,Dzocchen = Tzochcen = Dzotchen = Tzotchen,TZC," Mexiko, Campeche (MX-CAM)",20.20572,-89.97303
Tzum,,TZM," Mexiko, Campeche (MX-CAM)",19.969483,-89.82075
Uaxactun,Bambonal = San Leandro,UAX,"Guatemala, PetÈn (GT-PE)",17.391196,-89.629533
Uaymil,Huaymil = Guaymil = Isla Uaymil = Uaymitun,UYM," Mexiko, Campeche (MX-CAM)",20.454841,-90.477431
Ucanal,Yokanal,UCN,"Guatemala, PetÈn (GT-PE)",16.8405,-89.3625
Ukum,,UKM,"Mexiko, Yucat·n (MX-YUC)",20.501666,-89.310834
Uolantun,,UOL,"Guatemala, PetÈn (GT-PE)",17.185279,-89.579932
Uxbenka,,UXB," Belize, Toledo (BZ-TOL)",16.240205,-89.068708
Uxmal,Ushmal,UXM,"Mexiko, Yucat·n (MX-YUC)",20.360732,-89.769316
Uxul,,UXL," Mexiko, Campeche (MX-CAM)",17.85611,-89.985
Wakahtal G¸iro,,WKT,"Guatemala, PetÈn (GT-PE)",17.40'38.6,-89.56326
Witzna,Huitzna,WIT,"Guatemala, PetÈn (GT-PE)",17.426,-89.251
X'Burrotunich,Xburrotunich,XBR,"Mexiko, Yucat·n (MX-YUC)",20.29'05.7,-89.5146
X'Castillo,Castillo Pak,XCS,"Mexiko, Yucat·n (MX-YUC)",20.33'46.0,-89.56089
Xcakochna,,,"Mexiko, Yucat·n (MX-YUC)",20.0455,-89.439167
